-0.0199996|-0.360003|-0.06|-0.320001|0.12|0.1|0.08|
-0.36|-0.560003|-0.06|-0.320001|0.12|0.1|0.08|
-0.6|-0.560003|-0.06|-0.320001|0.12|0.1|0.08|
-1.02|-0.560003|-0.06|-0.320001|0.12|0.1|0.08|
-1.28|-0.560003|-0.06|-0.320001|0.12|0.1|0.08|
-0.56|-0.560003|-0.06|-0.320001|0.12|0.1|0.12|
-0.14|-0.560003|-0.06|-0.320001|0.12|0.1|0.12|
-0.14|-0.560003|-0.06|0.0599994|7.00355e-09|-0.18|0.32|
-0.14|-0.560003|-0.06|0.0599994|7.00355e-09|-0.72|0.56|
-0.14|-0.560003|-0.06|0.0599994|7.00355e-09|-0.9|0.56|
-0.14|-0.560003|-0.06|0.0599994|7.00355e-09|-0.28|0.08|
-0.14|-0.560003|-0.06|0.0599994|7.00355e-09|0.26|-0.4|
-0.14|-0.560003|-0.06|0.0599994|7.00355e-09|0.3|-1.02|
-0.14|-0.560003|-0.06|0.0599994|7.00355e-09|-0.1|-0.16|
0.0800004|-1|0.18|-0.520001|7.00355e-09|-0.1|-0.16|
0.0800004|-1|0.06|-0.88|7.00355e-09|-0.1|-0.16|
